,ID,pclass,sex,age,sibsp,parch,fare,embarked,survived
0,1,3,male,20.0,0,0,4.0,C,0
1,2,3,female,18.0,0,0,7.2,C,1
2,3,2,male,29.3817537087912,0,0,15.6,C,0
3,4,2,male,29.3817537087912,0,0,0.0,S,0
4,5,3,female,2.0,3,2,27.9,S,0
5,6,1,male,45.0,0,0,29.7,C,1
6,7,1,male,50.0,1,0,106.4,C,0
7,8,2,male,18.0,0,0,10.5,S,0
8,9,2,male,44.0,1,0,32.398897464167575,S,0
9,10,1,female,23.0,3,2,263.0,S,1
10,11,2,male,25.0,0,0,10.5,S,0
11,12,3,female,29.3817537087912,0,0,7.7,Q,1
12,13,1,female,22.0,0,0,151.6,S,1
13,14,3,female,29.3817537087912,2,0,23.3,Q,1
14,15,1,male,30.0,1,0,57.8,C,1
15,16,1,female,55.0,0,0,135.6,C,1
16,17,3,male,32.0,0,0,22.5,S,0
17,18,3,male,26.0,0,0,7.9,Q,0
18,19,1,male,29.3817537087912,0,0,26.0,S,0
19,20,1,male,37.0,1,1,83.2,C,0
20,21,2,female,22.0,0,0,10.5,S,1
21,22,3,male,29.3817537087912,1,2,23.5,S,0
22,23,3,male,20.0,1,0,7.9,S,1
23,24,2,male,28.0,0,0,13.5,S,0
24,25,3,male,28.0,0,0,7.9,S,0
25,26,2,male,25.0,0,0,10.5,S,0
26,27,1,female,30.0,0,0,31.0,C,1
27,28,1,male,41.0,1,0,32.398897464167575,S,0
28,29,3,female,35.0,0,0,7.8,Q,0
29,30,2,female,27.0,1,0,21.0,S,0
30,31,2,female,36.0,0,3,39.0,S,1
31,32,2,male,30.0,0,0,10.5,S,0
32,33,1,female,47.0,1,1,52.6,S,1
33,34,3,female,22.0,0,0,7.8,S,1
34,35,2,male,23.0,0,0,15.0,C,0
35,36,2,female,8.0,0,2,26.3,S,1
36,37,3,male,29.0,0,0,7.9,S,0
37,38,3,female,29.3817537087912,0,0,7.8,Q,1
38,39,1,male,25.0,1,0,55.4,C,1
39,40,1,male,36.0,0,0,75.2,C,0
40,41,3,male,21.0,0,0,7.9,S,0
41,42,2,female,29.3817537087912,0,0,12.4,Q,1
42,43,3,female,18.0,0,1,14.5,C,0
43,44,3,male,29.3817537087912,0,0,7.3,S,0
44,45,3,male,19.0,0,0,0.0,S,0
45,46,3,female,45.0,0,0,7.8,S,0
46,47,1,male,53.0,0,0,28.5,C,1
47,48,3,female,31.0,1,1,20.5,S,1
48,49,3,male,25.0,0,0,7.3,S,0
49,50,3,male,21.0,0,0,7.8,Q,0
50,51,3,male,12.0,1,0,11.2,C,1
51,52,1,male,39.0,1,0,71.3,C,0
52,53,1,male,50.0,1,1,211.5,C,0
53,54,3,male,18.0,0,0,7.8,S,0
54,55,1,male,36.0,0,0,40.1,C,0
55,56,2,male,63.0,1,0,26.0,S,0
56,57,2,male,32.5,1,0,30.1,C,0
57,58,3,male,55.5,0,0,8.1,S,0
58,59,3,male,19.0,0,0,7.9,S,0
59,60,1,male,38.0,0,0,0.0,S,0
60,61,2,male,27.0,0,0,15.0,C,0
61,62,3,male,22.0,0,0,7.2,C,1
62,63,3,male,34.0,1,1,32.398897464167575,S,0
63,64,3,male,29.3817537087912,0,0,7.8,Q,0
64,65,2,male,42.0,0,0,13.0,S,0
65,66,3,male,23.0,0,0,7.8,S,1
66,67,1,female,17.0,1,0,57.0,S,1
67,68,3,male,33.0,0,0,8.7,C,0
68,69,1,male,24.0,1,0,82.3,S,1
69,70,3,male,21.0,0,0,7.9,S,0
70,71,3,male,24.0,2,0,24.2,S,0
71,72,1,female,41.0,0,0,134.5,C,1
72,73,2,female,19.0,1,0,26.0,S,1
73,74,2,female,36.0,1,0,26.0,S,1
74,75,1,male,48.0,0,0,26.6,S,1
75,76,2,male,16.0,0,0,10.5,S,0
76,77,3,male,29.3817537087912,0,0,8.1,S,0
77,78,1,male,35.0,0,0,26.6,C,1
78,79,1,female,49.0,0,0,25.9,S,1
79,80,3,male,29.3817537087912,1,1,15.2,C,1
80,81,2,male,23.0,1,0,10.5,S,0
81,82,1,female,31.0,0,0,32.398897464167575,C,1
82,83,1,male,36.0,1,0,78.9,S,0
83,84,3,male,32.5,0,0,9.5,S,0
84,85,3,male,44.0,0,0,8.1,S,0
85,86,3,male,29.3817537087912,1,0,14.5,C,0
86,87,3,male,4.0,3,2,27.9,S,0
87,88,3,male,16.0,1,1,20.3,S,0
88,89,1,female,40.0,0,0,32.398897464167575,S,1
89,90,3,male,25.0,0,0,32.398897464167575,C,0
90,91,3,male,9.0,5,2,46.9,S,0
91,92,1,male,22.0,0,0,135.6,C,0
92,93,1,male,47.0,1,0,227.5,C,0
93,94,3,female,15.0,0,0,7.2,C,1
94,95,3,male,6.0,0,1,12.5,S,1
95,96,3,male,29.3817537087912,0,0,7.6,S,0
96,97,2,male,21.0,1,0,11.5,S,0
97,98,1,male,55.0,0,0,50.0,S,0
98,99,1,female,51.0,1,0,78.0,S,1
99,100,3,male,50.0,0,0,8.1,S,0
100,101,3,male,29.3817537087912,0,0,7.8,Q,0
101,102,3,male,29.3817537087912,0,0,7.9,S,1
102,103,1,male,35.0,0,0,512.3,C,1
103,104,3,female,18.0,2,0,18.0,S,0
104,105,2,female,33.0,1,2,27.8,S,1
105,106,1,female,22.0,0,1,59.4,C,1
106,107,1,male,30.0,1,2,151.6,S,0
107,108,3,male,29.3817537087912,0,0,7.2,C,0
108,109,1,male,31.0,1,0,52.0,S,0
109,110,3,female,19.0,0,0,7.9,Q,1
110,111,3,female,29.3817537087912,1,0,15.5,Q,1
111,112,2,female,22.0,0,0,21.0,S,0
112,113,3,male,29.3817537087912,0,0,7.8,Q,1
113,114,3,male,36.0,0,0,0.0,S,0
114,115,3,male,27.0,0,0,8.7,S,0
115,116,3,male,17.0,0,0,8.7,S,0
116,117,3,male,29.3817537087912,2,0,21.7,C,0
117,118,1,female,33.0,0,0,86.5,S,1
118,119,3,male,29.3817537087912,8,2,69.6,S,0
119,120,3,male,34.0,0,0,6.5,S,0
120,121,1,female,35.0,1,0,90.0,S,1
121,122,3,male,27.0,0,0,7.9,S,0
122,123,2,female,24.0,0,2,14.5,S,1
123,124,3,female,15.0,0,0,8.0,Q,1
124,125,1,female,18.0,1,0,60.0,S,1
125,126,2,male,26.0,0,0,10.5,S,0
126,127,3,male,29.3817537087912,0,0,7.6,S,0
127,128,1,female,38.0,0,0,227.5,C,1
128,129,2,male,21.0,0,0,13.0,S,0
129,130,3,female,26.0,0,0,7.9,S,1
130,131,3,male,17.0,0,0,8.7,S,0
131,132,2,male,42.0,1,1,32.5,S,0
132,133,3,female,29.3817537087912,0,2,15.2,C,1
133,134,1,male,43.0,1,0,27.7,C,1
134,135,3,female,29.3817537087912,1,0,15.5,Q,1
135,136,3,female,9.0,4,2,32.398897464167575,S,0
136,137,1,female,22.0,0,1,62.0,C,1
137,138,3,female,9.0,1,1,15.2,C,0
138,139,1,male,50.0,0,0,26.0,S,0
139,140,2,male,32.0,0,0,13.0,S,0
140,141,3,male,22.0,0,0,7.8,S,0
141,142,2,female,0.9167,1,2,27.8,S,1
142,143,3,male,0.4167,0,1,8.5,C,1
143,144,2,male,18.0,0,0,13.0,S,0
144,145,3,male,9.0,0,2,20.5,S,1
145,146,3,male,29.3817537087912,2,0,21.7,C,0
146,147,3,female,29.3817537087912,8,2,69.6,S,0
147,148,3,male,11.0,5,2,46.9,S,0
148,149,2,male,52.0,0,0,13.0,S,0
149,150,3,male,29.0,0,0,8.1,S,0
150,151,3,male,16.0,0,0,9.5,S,0
151,152,1,female,48.0,0,0,25.9,S,1
152,153,3,female,23.0,0,0,8.7,S,0
153,154,3,male,35.0,0,0,8.1,S,0
154,155,2,female,60.0,1,0,26.0,S,0
155,156,3,female,36.0,1,0,17.4,S,1
156,157,3,male,31.0,0,0,7.9,S,1
157,158,3,male,23.0,0,0,9.2,S,0
158,159,3,male,29.3817537087912,0,0,7.8,Q,0
159,160,3,male,42.0,0,1,8.4,S,0
160,161,3,female,24.0,0,2,16.7,S,1
161,162,1,male,47.0,0,0,25.6,S,0
162,163,3,male,29.3817537087912,0,0,8.1,S,0
163,164,2,male,18.0,0,0,73.5,S,0
164,165,3,female,22.0,0,0,7.7,Q,1
165,166,3,male,60.5,0,0,32.398897464167575,S,0
166,167,3,female,29.0,1,1,10.5,S,0
167,168,3,male,17.0,2,0,8.1,S,0
168,169,3,male,26.0,1,0,7.9,S,0
169,170,3,female,29.3817537087912,0,0,8.1,S,0
170,171,2,male,19.0,1,1,36.8,S,0
171,172,2,female,40.0,1,1,39.0,S,1
172,173,3,male,18.0,1,0,14.5,C,0
173,174,2,male,23.0,0,0,10.5,S,0
174,175,3,male,21.0,0,0,7.8,S,1
175,176,3,male,26.0,0,0,7.9,S,0
176,177,2,female,36.0,0,0,13.0,S,1
177,178,3,male,38.5,0,0,7.3,S,0
178,179,3,male,9.0,4,2,31.4,S,0
179,180,3,female,29.3817537087912,0,2,7.8,Q,0
180,181,3,female,15.0,1,0,14.5,C,1
181,182,3,male,26.0,0,0,7.8,S,0
182,183,3,female,47.0,1,0,7.0,S,1
183,184,3,female,29.3817537087912,0,0,7.8,Q,1
184,185,2,male,29.3817537087912,0,0,12.9,S,0
185,186,1,female,22.0,0,2,49.5,C,1
186,187,3,female,5.0,2,1,19.3,C,1
187,188,3,female,18.0,0,0,6.8,Q,0
188,189,2,male,29.0,1,0,27.7,C,0
189,190,2,male,8.0,1,1,36.8,S,1
190,191,3,male,29.0,0,0,9.5,S,0
191,192,3,male,24.5,0,0,8.1,S,0
192,193,3,male,50.0,1,0,14.5,S,0
193,194,3,male,32.0,0,0,7.9,S,0
194,195,2,male,2.0,1,1,23.0,S,1
195,196,3,male,32.0,0,0,7.9,S,0
196,197,1,female,16.0,0,1,39.4,S,1
197,198,2,male,28.0,0,0,13.0,S,0
198,199,3,male,25.0,0,0,7.1,S,0
199,200,1,female,35.0,1,0,52.0,S,1
200,201,1,female,55.0,2,0,25.7,S,1
201,202,3,female,29.3817537087912,0,0,7.9,Q,0
202,203,2,female,23.0,0,0,13.8,C,1
203,204,2,male,31.0,0,0,13.0,S,1
204,205,3,female,36.0,0,2,15.9,S,1
205,206,3,male,22.0,0,0,7.3,S,0
206,207,3,female,22.0,0,0,10.5,S,0
207,208,2,male,43.0,0,1,21.0,S,0
208,209,3,female,20.0,1,0,9.8,S,0
209,210,3,female,23.0,0,0,7.9,S,0
210,211,2,female,17.0,0,0,12.0,C,1
211,212,2,female,24.0,1,2,65.0,S,1
212,213,1,male,41.0,0,0,30.5,S,0
213,214,2,male,30.0,0,0,13.0,S,0
214,215,3,male,28.0,0,0,56.5,S,0
215,216,3,male,32.0,0,0,7.9,S,1
216,217,3,female,30.0,0,0,12.5,S,1
217,218,2,male,19.0,0,0,10.5,S,1
218,219,2,female,38.0,0,0,13.0,S,0
219,220,1,female,63.0,1,0,221.8,S,0
220,221,2,male,47.0,0,0,15.0,S,0
221,222,3,female,22.0,0,0,39.7,S,0
222,223,3,male,6.0,3,1,21.1,S,0
223,224,3,male,20.0,0,0,7.9,S,0
224,225,3,male,18.0,0,0,8.1,S,1
225,226,3,male,16.0,1,3,34.4,S,0
226,227,3,male,7.0,4,1,29.1,Q,0
227,228,1,male,61.0,0,0,33.5,S,0
228,229,3,male,29.3817537087912,0,0,7.9,S,0
229,230,3,male,29.3817537087912,0,0,7.2,C,0
230,231,3,male,14.5,8,2,69.6,S,0
231,232,2,female,32.0,0,0,13.0,S,1
232,233,3,male,19.0,0,0,8.1,S,1
233,234,3,female,29.3817537087912,0,0,7.8,Q,1
234,235,1,female,60.0,0,0,76.3,C,1
235,236,3,male,20.5,0,0,7.3,S,0
236,237,3,male,9.0,0,1,3.2,S,1
237,238,1,male,29.3817537087912,0,0,35.0,S,0
238,239,3,male,29.3817537087912,1,0,7.8,Q,0
239,240,1,female,53.0,0,0,27.4,C,1
240,241,3,male,29.3817537087912,0,0,7.9,S,0
241,242,3,male,29.3817537087912,0,0,7.1,S,0
242,243,3,female,41.0,0,5,39.7,S,0
243,244,3,male,20.0,0,0,7.2,C,0
244,245,3,male,25.0,0,0,7.9,S,0
245,246,1,male,21.0,0,1,77.3,S,0
246,247,3,male,23.0,0,0,7.9,S,0
247,248,1,male,19.0,3,2,263.0,S,0
248,249,3,male,33.0,0,0,8.7,S,0
249,250,2,male,29.0,1,0,26.0,S,0
250,251,3,female,24.0,0,3,19.3,C,1
251,252,2,female,30.0,0,0,12.4,Q,1
252,253,3,male,29.0,0,0,9.5,S,1
253,254,2,male,41.0,0,0,13.0,S,0
254,255,3,female,29.3817537087912,0,0,7.2,C,1
255,256,3,male,41.0,0,0,7.9,S,0
256,257,3,male,32.0,0,0,56.5,S,1
257,258,2,male,29.3817537087912,0,0,0.0,S,0
258,259,3,female,43.0,1,6,46.9,S,0
259,260,1,female,45.0,0,0,262.4,C,1
260,261,2,male,60.0,1,1,39.0,S,0
261,262,1,male,42.0,0,0,42.5,S,0
262,263,1,female,14.0,1,2,120.0,S,1
263,264,2,male,41.0,0,0,15.0,C,0
264,265,2,female,50.0,0,0,10.5,S,1
265,266,3,male,14.0,0,0,9.2,S,1
266,267,3,female,29.3817537087912,0,0,7.8,Q,1
267,268,3,male,74.0,0,0,7.8,S,0
268,269,2,female,17.0,0,0,10.5,S,1
269,270,3,male,18.0,0,0,7.8,S,0
270,271,2,female,42.0,1,0,26.0,S,1
271,272,1,female,44.0,0,0,27.7,C,1
272,273,3,male,29.3817537087912,0,0,7.7,Q,0
273,274,2,female,4.0,2,1,39.0,S,1
274,275,2,male,36.5,0,2,26.0,S,0
275,276,2,female,26.0,1,1,26.0,S,0
276,277,3,male,29.3817537087912,0,0,7.9,S,0
277,278,3,female,21.0,0,0,7.7,S,1
278,279,3,male,29.3817537087912,0,0,7.8,Q,0
279,280,1,male,29.3817537087912,0,0,0.0,S,0
280,281,3,female,37.0,0,0,9.6,S,0
281,282,1,female,29.3817537087912,1,0,89.1,C,1
282,283,2,male,57.0,0,0,13.0,S,0
283,284,3,male,3.0,4,2,31.4,S,1
284,285,2,male,8.0,0,2,32.5,S,1
285,286,1,male,4.0,0,2,81.9,S,1
286,287,3,male,29.3817537087912,0,0,7.9,Q,0
287,288,3,male,29.3817537087912,0,0,7.8,Q,0
288,289,3,male,33.0,0,0,7.8,S,0
289,290,3,male,29.3817537087912,8,2,69.6,S,0
290,291,1,male,49.0,1,0,56.9,C,1
291,292,2,female,22.0,1,1,29.0,S,1
292,293,1,male,65.0,0,1,62.0,C,0
293,294,2,female,3.0,1,2,41.6,C,1
294,295,3,male,29.3817537087912,0,0,56.5,S,0
295,296,1,female,36.0,0,0,31.7,C,0
296,297,1,male,29.3817537087912,0,0,30.7,C,0
297,298,3,male,28.0,2,0,7.9,S,0
298,299,3,male,29.3817537087912,0,0,56.5,S,1
299,300,2,male,25.0,1,2,41.6,C,0
300,301,1,female,64.0,1,1,26.6,S,1
301,302,1,male,38.0,1,0,90.0,S,1
302,303,3,male,23.0,0,0,7.9,S,0
303,304,3,female,2.0,4,2,31.3,S,0
304,305,1,male,48.0,1,0,52.0,S,1
305,306,1,male,25.0,1,0,91.1,C,1
306,307,1,male,29.3817537087912,0,0,39.6,S,1
307,308,1,male,55.0,1,0,59.4,C,0
308,309,3,male,40.0,0,0,7.2,C,0
309,310,3,male,29.3817537087912,1,0,24.2,Q,0
310,311,1,female,54.0,1,1,81.9,S,1
311,312,1,female,35.0,0,0,135.6,S,1
312,313,3,male,44.0,0,0,7.9,S,1
313,314,3,male,21.0,2,0,24.2,S,0
314,315,1,male,42.0,1,0,52.0,S,0
315,316,2,female,29.0,1,0,26.0,S,0
316,317,2,female,26.0,0,0,13.5,S,1
317,318,2,male,24.0,0,0,13.0,S,0
318,319,2,male,18.5,0,0,13.0,S,0
319,320,3,female,31.0,1,0,18.0,S,0
320,321,3,female,27.0,0,0,7.9,Q,0
321,322,1,male,61.0,0,0,32.3,S,0
322,323,3,male,51.0,0,0,7.1,S,0
323,324,3,female,22.0,0,0,9.0,S,1
324,325,3,male,21.0,0,0,8.1,S,0
325,326,2,male,40.0,1,0,26.0,S,0
326,327,3,female,16.0,0,0,7.7,Q,1
327,328,2,female,6.0,0,1,33.0,S,1
328,329,2,female,4.0,1,1,23.0,S,1
329,330,1,male,80.0,0,0,30.0,S,1
330,331,2,female,40.0,0,0,15.8,S,1
331,332,2,male,21.0,0,0,73.5,S,0
332,333,3,male,29.3817537087912,0,0,8.1,S,0
333,334,1,female,35.0,1,0,53.1,S,1
334,335,1,male,32.0,0,0,30.5,C,1
335,336,3,male,29.3817537087912,0,0,7.9,S,0
336,337,3,male,32.0,0,0,7.8,S,1
337,338,3,male,20.0,0,0,7.9,S,1
338,339,3,male,29.3817537087912,1,0,14.5,C,0
339,340,3,male,20.0,0,0,7.9,S,0
340,341,1,male,29.3817537087912,0,0,25.7,C,1
341,342,3,male,32.0,0,0,7.6,S,1
342,343,1,male,0.9167,1,2,151.6,S,1
343,344,1,male,36.0,1,2,120.0,S,1
344,345,2,male,34.0,1,0,26.0,S,0
345,346,3,male,20.0,0,0,7.9,S,0
346,347,2,male,30.0,0,0,13.0,S,0
347,348,3,female,29.3817537087912,0,0,7.8,Q,1
348,349,1,male,47.0,0,0,34.0,S,0
349,350,1,female,24.0,0,0,49.5,C,1
350,351,3,male,29.3817537087912,0,0,7.9,C,0
351,352,1,male,57.0,1,1,164.9,S,0
352,353,3,female,19.0,1,0,7.9,S,1
353,354,3,male,39.0,1,5,31.3,S,0
354,355,2,male,39.0,0,0,13.0,S,0
355,356,3,male,29.3817537087912,2,0,21.7,C,0
356,357,1,female,22.0,0,1,55.0,S,1
357,358,3,male,20.0,0,0,7.1,S,0
358,359,3,male,29.3817537087912,0,0,14.5,S,0
359,360,3,male,37.0,2,0,7.9,S,0
360,361,3,male,22.0,0,0,7.2,C,1
361,362,3,female,29.3817537087912,0,0,7.6,Q,0
362,363,3,male,29.3817537087912,0,0,8.1,S,0
363,364,1,male,60.0,1,1,79.2,C,1
364,365,2,male,36.0,0,0,12.9,C,0
365,366,1,female,35.0,1,0,57.8,C,1
366,367,3,male,29.3817537087912,0,0,7.2,C,0
367,368,3,male,29.3817537087912,0,0,8.1,S,0
368,369,3,male,34.0,0,0,8.1,S,0
369,370,2,male,18.0,0,0,11.5,S,0
370,371,2,female,30.0,3,0,21.0,S,1
371,372,1,male,45.5,0,0,28.5,S,0
372,373,2,male,24.0,0,0,10.5,S,1
373,374,3,male,31.0,0,0,7.7,Q,0
374,375,3,male,29.3817537087912,1,0,16.1,S,0
375,376,3,male,51.0,0,0,8.1,S,0
376,377,3,female,5.0,4,2,31.4,S,1
377,378,2,male,29.0,1,0,21.0,S,0
378,379,3,female,29.3817537087912,0,0,7.8,Q,0
379,380,3,male,29.3817537087912,0,0,8.1,S,0
380,381,3,female,19.0,1,1,15.7,C,1
381,382,3,male,42.0,0,0,7.7,S,0
382,383,2,male,27.0,1,0,26.0,S,0
383,384,2,female,28.0,1,0,26.0,S,1
384,385,3,male,29.3817537087912,0,0,8.7,S,0
385,386,2,female,24.0,1,0,27.7,C,1
386,387,2,male,16.0,0,0,26.0,S,0
387,388,2,male,34.0,0,0,13.0,S,0
388,389,3,male,29.3817537087912,1,0,15.5,Q,0
389,390,2,female,27.0,0,0,10.5,S,1
390,391,3,male,0.8333,0,1,9.4,S,1
391,392,3,male,25.0,0,0,7.7,Q,0
392,393,1,female,39.0,1,1,79.7,S,1
393,394,3,male,30.0,0,0,7.3,S,0
394,395,3,male,29.3817537087912,0,0,7.2,C,0
395,396,3,female,24.0,1,0,15.9,S,1
396,397,3,male,29.3817537087912,0,0,7.8,Q,0
397,398,2,female,28.0,1,0,24.0,C,1
398,399,1,female,16.0,0,1,58.0,C,1
399,400,1,male,65.0,0,0,26.6,S,0
400,401,2,male,34.0,1,0,21.0,S,0
401,402,3,male,42.0,0,0,8.7,S,0
402,403,3,male,29.3817537087912,0,0,7.1,S,1
403,404,3,male,29.3817537087912,1,0,16.1,S,0
404,405,3,male,28.0,0,0,7.9,S,0
405,406,3,male,29.3817537087912,0,0,7.0,S,0
406,407,2,male,30.0,0,0,13.0,S,0
407,408,3,male,18.0,1,1,20.2,S,0
408,409,3,male,41.0,2,0,14.1,S,0
409,410,1,male,45.0,1,1,134.5,C,1
410,411,1,male,29.3817537087912,0,0,39.6,C,0
411,412,3,female,22.0,0,0,7.8,S,1
412,413,3,male,29.3817537087912,0,0,7.9,S,0
413,414,2,female,24.0,0,0,13.0,S,0
414,415,2,female,24.0,1,2,65.0,S,1
415,416,2,male,46.0,0,0,26.0,S,0
416,417,3,female,3.0,3,1,21.1,S,0
417,418,3,male,17.0,0,0,7.1,S,0
418,419,1,male,37.0,0,1,29.7,C,0
419,420,2,female,22.0,1,2,41.6,C,1
420,421,3,male,24.0,0,0,7.8,S,0
421,422,3,male,24.0,0,0,9.5,S,0
422,423,1,male,47.0,0,0,42.4,S,0
423,424,1,female,31.0,0,2,164.9,S,1
424,425,1,female,16.0,0,0,86.5,S,1
425,426,1,female,59.0,2,0,51.5,S,1
426,427,3,male,29.3817537087912,0,0,7.6,S,0
427,428,3,male,21.0,0,0,7.9,S,0
428,429,3,female,23.0,0,0,8.1,S,1
429,430,3,male,28.0,0,0,9.5,S,0
430,431,3,male,18.0,0,0,7.8,S,0
431,432,2,male,23.0,0,0,13.0,S,0
432,433,3,male,29.3817537087912,0,0,7.9,S,0
433,434,1,female,48.0,1,3,262.4,C,1
434,435,3,male,24.0,0,0,7.6,S,1
435,436,3,male,26.0,0,0,7.8,S,1
436,437,2,male,61.0,0,0,12.4,Q,0
437,438,3,female,29.3817537087912,0,0,8.1,S,0
438,439,2,male,36.0,0,0,10.5,S,0
439,440,3,female,19.0,1,0,16.1,S,0
440,441,2,male,30.0,1,1,26.0,S,0
441,442,3,female,29.3817537087912,3,1,25.5,S,0
442,443,1,male,46.0,1,0,61.2,S,0
443,444,1,male,35.0,0,0,26.3,S,1
444,445,3,male,17.0,0,0,8.7,S,0
445,446,1,female,2.0,1,2,151.6,S,0
446,447,3,male,29.3817537087912,0,0,24.2,Q,0
447,448,3,male,1.0,4,1,39.7,S,0
448,449,3,female,25.0,1,0,7.9,S,0
449,450,3,male,29.3817537087912,0,0,7.8,Q,0
450,451,3,male,24.0,0,0,8.1,S,0
451,452,2,female,30.0,0,0,13.0,S,1
452,453,2,male,14.0,0,0,65.0,S,0
453,454,2,male,17.0,0,0,73.5,S,0
454,455,1,male,30.0,0,0,27.8,C,0
455,456,3,male,21.0,0,0,7.2,C,0
456,457,3,female,45.0,0,0,7.2,C,1
457,458,3,female,29.3817537087912,2,0,23.3,Q,1
458,459,3,male,38.0,0,0,7.1,S,0
459,460,3,female,47.0,1,0,14.5,S,0
460,461,3,female,1.0,1,1,16.7,S,1
461,462,1,male,29.3817537087912,0,0,30.0,S,1
